Jerusalem	B	Jerusalem	http://en.wikipedia.org/wiki/Jerusalem	Jerusalem
"				
precedents				
.				
				
46				
-				
year				
-				
old				
Abu				Abu_Talib_ibn_Abdul-Muttalib
Talib				Abu_Talib_ibn_Abdul-Muttalib
was				
sentenced				
to				
life				
imprisonment				
in				
1990				
in				
Sweden	B	Sweden	http://en.wikipedia.org/wiki/Sweden	Sweden
for				
terrorist				
acts				
in				
Amsterdam	B	Amsterdam	http://en.wikipedia.org/wiki/Amsterdam	Amsterdam
,				
Copenhagen	B	Copenhagen	http://en.wikipedia.org/wiki/Copenhagen	Copenhagen
and				
Stockholm	B	Stockholm	http://en.wikipedia.org/wiki/Stockholm	Stockholm
between				
1985				
and				
1986				
.				
				
The				
defense				
council				
in				
the				
Lockerbie				Lockerbie
court				
is				
attempting				
to				
show				
his				
involvement				
in				
the				
Lockerbie				Lockerbie
attack				
.				
				
Based				
on				
Scottish				Scotland
law				
,				
followed				
in				
this				
court				
,				
if				
Abu				Abu_Talib_ibn_Abdul-Muttalib
Talib				Abu_Talib_ibn_Abdul-Muttalib
insists				
on				
not				
responding				
to				
the				
question				
,				
this				
is				
considered				
to				
be				
"				
contempt				
of				
court				
"				
and				
means				
he				
may				
be				
punished				
in				
accordance				
with				
Scottish				Scotland
law				
covering				
such				
incidents				
.				
				
The				
problem				
is				
that				
the				
judges				
may				
not				
punish				
Abu				Abu_Talib_ibn_Abdul-Muttalib
Talib				Abu_Talib_ibn_Abdul-Muttalib
unless				
Sweden				Sweden
hands				
him				
over				
to				
Scotland				Scotland
after				
the				
court				
case				
ends				
to				
apply				
the				
punishment				
for				
contempt				
of				
court				
.				
				
So				
far				
,				
the				
judges				
have				
not				
asked				
Abu				Abu_Talib_ibn_Abdul-Muttalib
Talib				Abu_Talib_ibn_Abdul-Muttalib
to				
answer				
the				
defense				
'				
s				
question				
in				
what				
appears				
to				
be				
a				
move				
to				
avoid				
a				
tricky				
situation				
if				
the				
witness				
refuses				
to				
answer				
.				
				
The				
court				
president				
,				
Ronald				
Sutherland				
,				
who				
adjourned				
the				
session				
for				
a				
short				
while				
in				
an				
attempt				
to				
find				
a				
solution				
to				
this				
dilemma				
,				
said				
this				
raises				
an				
important				
question				
of				
principle				
.				
				
The				
two				
Libyans				Libya
,				
Alameen	B	Alameen_Khalifa_Fahima	http://en.wikipedia.org/wiki/Lamin_Khalifah_Fhimah	
Khalifa	I	Alameen_Khalifa_Fahima	http://en.wikipedia.org/wiki/Lamin_Khalifah_Fhimah	
Fahima	I	Alameen_Khalifa_Fahima	http://en.wikipedia.org/wiki/Lamin_Khalifah_Fhimah	
and				
Abdulbasit	B	Abdulbasit_al-Maqrahi	http://en.wikipedia.org/wiki/Abdelbaset_Ali_Mohmed_Al_Megrahi	
al	I	Abdulbasit_al-Maqrahi	http://en.wikipedia.org/wiki/Abdelbaset_Ali_Mohmed_Al_Megrahi	
-	I	Abdulbasit_al-Maqrahi	http://en.wikipedia.org/wiki/Abdelbaset_Ali_Mohmed_Al_Megrahi	
Maqrahi	I	Abdulbasit_al-Maqrahi	http://en.wikipedia.org/wiki/Abdelbaset_Ali_Mohmed_Al_Megrahi	
,				
are				
suspected				
of				
sending				
a				
bomb				
from				
Malta	B	Malta	http://en.wikipedia.org/wiki/Malta	Malta
which				
was				
used				
to				
explode				
the				
Pan				Pan_American_World_Airways
Am				Pan_American_World_Airways
plane				
over				
the				
Scottish				Scotland
village				
of				
Lockerbie				Lockerbie
on				
December				
21				
,				
1988				
killing				
270				
people				
.				
				
Baghdad	B	Baghdad	http://en.wikipedia.org/wiki/Baghdad	Baghdad
11				
-				
15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
The				
head				
of				
the				
French				
Interests				
Section				
in				
Baghdad				Baghdad
,				
Ambassador				
Andre				
Janier				
,				
today				
Wednesday				
welcomed				
Iraq	B	Iraq	http://en.wikipedia.org/wiki/Iraq	Iraq
'				
s				
decision				
to				
deal				
in				
euros				
and				
said				
this				
would				
encourage				
relations				
between				
the				
two				
countries				
.				
				
In				
an				
interview				
in				
today				
'				
s				
edition				
of				
the				
official				
newspaper				
"				
al				Al_(disambiguation)
-				
Jamhouriya				
,				
"				
Janier				
said				
we				
French				France
believe				
this				
decision				
is				
positive				
for				
the				
international				
economy				
,				
and				
this				
decision				
encourages				
economic				
relations				
,				
especially				
in				
terms				
of				
oil				
,				
between				
Iraq				Iraq
and				
France				France
.				
				
The				
French				France
diplomat				
carried				
on				
to				
say				
"				
we				
have				
a				
vested				
interest				
in				
this				
matter				
as				
Europeans				Europe
and				
French				France
because				
all				
trade				
payments				
and				
exchanges				
are				
paid				
in				
euros				
and				
there				
is				
no				
danger				
to				
European				Europe
and				
French				France
companies				
because				
of				
fluctuations				
in				
the				
price				
of				
the				
dollar				
on				
the				
stock				
exchange				
.				
This				
compensates				
for				
any				
loss				
in				
buying				
and				
selling				
in				
euros				
rather				
than				
dollars				
.				
				
Iraq				Iraq
decided				
to				
deal				
in				
euros				
,				
rather				
than				
the				
dollar				
,				
as				
of				
the				
sixth				
of				
this				
month				
for				
its				
oil				
sales				
and				
outside				
trade				
deals				
.				
				
Albus	B	Albus	--NME--	Albus_(disambiguation)
(				
Lebanon	B	Lebanon	http://en.wikipedia.org/wiki/Lebanon	Lebanon
)				
11				
-				
15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
Thousands				
of				
Palestinian				State_of_Palestine
refugees				
in				
Lebanon				Lebanon
commemorated				
in				
their				
camps				
today				
Wednesday				
the				
twelfth				
anniversary				
of				
the				
symbolic				
announcement				
of				
independence				
by				
the				
Palestinian	B	Palestinian_National_Council	http://en.wikipedia.org/wiki/Palestinian_National_Council	Palestinian_National_Council
National	I	Palestinian_National_Council	http://en.wikipedia.org/wiki/Palestinian_National_Council	Palestinian_National_Council
Council	I	Palestinian_National_Council	http://en.wikipedia.org/wiki/Palestinian_National_Council	Palestinian_National_Council
in				
Algeria	B	Algeria	http://en.wikipedia.org/wiki/Algeria	Algeria
in				
1988				
.				
				
Around				
five				
thousand				
Palestinians				State_of_Palestine
form				
the				
Albus	B	Albus_Camp	--NME--	
Camp	I	Albus_Camp	--NME--	
near				
Souer	B	Souer	http://en.wikipedia.org/wiki/Tyre,_Lebanon	Piet_Souer
(				
83				
km				
south				
of				
Beirut	B	Beirut	http://en.wikipedia.org/wiki/Beirut	Beirut
)				
gathered				
and				
followed				
a				
march				
by				
children				
dressed				
in				
military				
clothing				
who				
held				
stones				
and				
raised				
pictures				
of				
Mohamed	B	Mohamed_al-Dura	http://en.wikipedia.org/wiki/http://en.wikipedia.org/wiki/Muhammad_al-Durrah_incident	Mohamed_Al-Fayed
al	I	Mohamed_al-Dura	http://en.wikipedia.org/wiki/http://en.wikipedia.org/wiki/Muhammad_al-Durrah_incident	Mohamed_Al-Fayed
-	I	Mohamed_al-Dura	http://en.wikipedia.org/wiki/http://en.wikipedia.org/wiki/Muhammad_al-Durrah_incident	
Dura	I	Mohamed_al-Dura	http://en.wikipedia.org/wiki/http://en.wikipedia.org/wiki/Muhammad_al-Durrah_incident	Dura,_Hebron
,				
the				
12				
-				
year				
-				
old				
Palestinian				State_of_Palestine
child				
killed				
by				
Israeli				Israel
army				
bullets				
in				
the				
Palestinian				Palestinian_territories
Territories				Palestinian_territories
in				
early				
October				
.				
				
A				
France				
Presse				
correspondent				
reported				
that				
around				
200				
Palestinians				State_of_Palestine
marched				
along				
the				
streets				
of				
Ayn				
Alhilwa				
refugee				
camp				
near				
Saida	B	Saida	http://en.wikipedia.org/wiki/Sidon	Sidon
,				
one				
of				
southern				
Lebanon	B	Lebanon	http://en.wikipedia.org/wiki/Lebanon	Lebanon
'				
s				
main				
cities				
,				
toward				
the				
headquarters				
of				
the				
Fatah				Fatah
movement				
led				
by				
Palestinian				State_of_Palestine
President				
Yasser				Yasser_Arafat
Arafat				Yasser_Arafat
carrying				
the				
Palestinian				State_of_Palestine
flag				
.				
				
A				
group				
of				
young				
people				
burned				
the				
Israeli				Israel
and				
American				United_States
flags				
outside				
the				
headquarters				
.				
				
Khalid	B	Khalid_Arif	--NME--	Khalid_Mahmud_Arif
Arif	I	Khalid_Arif	--NME--	Khalid_Mahmud_Arif
,				
am				
official				
with				
the				
Fatah				Fatah
movement				
in				
Saida				Sidon
,				
said				
the				
Intifada				First_Intifada
against				
Israel				Israel
which				
started				
late				
last				
September				
and				
has				
resulted				
in				
over				
two				
hundred				
deaths				
would				
continue				
until				
the				
Israeli				Israel
occupiers				
and				
settlers				
were				
chased				
out				
of				
the				
Palestinian				Palestinian_territories
Territories				Palestinian_territories
.				
				
He				
added				
,				
"				
The				
Intifada				First_Intifada
will				
continue				
until				
a				
Palestinian				State_of_Palestine
state				
with				
holy				
Jerusalem	B	Jerusalem	http://en.wikipedia.org/wiki/Jerusalem	Jerusalem
as				
its				
capital				
is				
created				
and				
the				
refugees				
return				
to				
their				
homes				
.				
				
In				
the				
nearby				
Ayn				
Alhilwa				
refugee				
camp				
,				
students				
between				
ages				
fifteen				
and				
sixteen				
marched				
through				
the				
camp				
'				
s				
alleyways				
,				
chanting				
"				
Jerusalem				Jerusalem
is				
ours				
"				
then				
the				
burned				
Israeli				Israel
and				
American				United_States
flags				
.				
				
Fatah				Fatah
movement				
called				
on				
Palestinians				State_of_Palestine
to				
declare				
today				
Wednesday				
as				
a				
day				
"				
to				
embody				
national				
independence				
"				
and				
to				
stop				
"				
Israeli				Israel
occupying				
forces				
and				
settler				
bandits				
from				
entering				
occupied				
Palestinian				State_of_Palestine
territory				
,				
"				
as				
a				
commemoration				
of				
the				
twelfth				
anniversary				
of				
the				
symbolic				
announcement				
of				
Palestinian				State_of_Palestine
independence				
.				
				
Palestinian				State_of_Palestine
President				
Yasser				Yasser_Arafat
Arafat				Yasser_Arafat
had				
symbolically				
announced				
a				
Palestinian				State_of_Palestine
state				
on				
November				
15				
,				
1988				
in				
Algeria				Algeria
when				
the				
first				
Palestinian				First_Intifada
Intifada				First_Intifada
was				
at				
its				
height				
and				
which				
continued				
for				
seven				
years				
until				
the				
Oslo				Oslo
peace				
accords				
were				
signed				
in				
1993				
.				
				
Bandar	B	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	Bandar_Seri_Begawan
Seri	I	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	Bandar_Seri_Begawan
Begawan	I	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	Bandar_Seri_Begawan
11				
-				
15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
The				
United	B	United_States	http://en.wikipedia.org/wiki/United_States	United_States
States	I	United_States	http://en.wikipedia.org/wiki/United_States	United_States
today				
Wednesday				
deemed				
the				
order				
issued				
by				
Palestinian				State_of_Palestine
President				
Yasser				Yasser_Arafat
Arafat				Yasser_Arafat
for				
a				
ceasefire				
in				
territories				
under				
Palestinian				Palestinian_National_Authority
Authority				Palestinian_National_Authority
control				
as				
a				
positive				
gesture				
but				
considered				
that				
it				
does				
not				
release				
constitute				
a				
release				
form				
the				
terms				
of				
the				
Sharm				Sharm_el-Sheikh
el				Sharm_el-Sheikh
-				
Sheikh				
agreement				
.				
				
James	B	James_Stewart	--NME--	James_Stewart
Stewart	I	James_Stewart	--NME--	James_Stewart
,				
the				
White	B	White_House	http://en.wikipedia.org/wiki/White_House	White_House
House	I	White_House	http://en.wikipedia.org/wiki/White_House	White_House
'				
s				
spokesman				
in				
Bandar				Bandar_Seri_Begawan
Seri				Bandar_Seri_Begawan
Begawan				Bandar_Seri_Begawan
,				
the				
capital				
of				
the				
Sultanate				Sultan
of				
Brunei				Brunei
which				
American				United_States
President				
Bill				Bill_Clinton
Clinton				Bill_Clinton
is				
visiting				
,				
said				
"				
of				
course				
we				
positively				
welcome				
the				
announcement				
aimed				
at				
stopping				
the				
violence				
